year,month,precip_mm,precip_accum,spi,spi_class
2018,5,472.5838633742918,2484.305057901001,-1.2696681381704233,Moderately dry
2018,6,111.78075741000728,2370.8892033596826,-1.5465907859628245,Severely dry
2018,7,103.79985128988976,2413.893229272679,-1.5319162245278206,Severely dry
2018,8,59.149662259497234,2321.7089506131656,-1.6872616441074517,Severely dry
2018,9,91.11892462391593,2310.1638289656426,-1.7292168941926735,Severely dry
2018,10,195.28176956670293,2256.1302980042515,-1.8153824043680342,Severely dry
2018,11,394.85037523211656,2475.6374456921158,-1.2377697175973252,Moderately dry
2018,12,166.31830736313762,2436.1190926183153,-1.3565184014902978,Moderately dry
2019,1,198.0991694602971,2385.035140965641,-1.4329550505370297,Moderately dry
2019,2,168.7483069312003,2387.4788953004263,-1.4729571942701283,Moderately dry
2019,3,237.58762381283134,2410.3701702546987,-1.3161762874621434,Moderately dry
2019,4,362.66942618357984,2561.9880375074677,-0.970402555863903,Near normal
2019,5,383.6536961701768,2473.0578703033525,-1.295710812195992,Moderately dry
2019,6,92.05993353295224,2453.3370464262975,-1.3556212040475,Moderately dry
2019,7,180.68345180185062,2530.2206469382586,-1.2505767978787818,Moderately dry
2019,8,53.771892312527854,2524.8428769912894,-1.2131064683173856,Moderately dry
2019,9,124.22771525847956,2557.9516676258527,-1.1490219314470838,Moderately dry
2019,10,429.4179442578587,2792.0878423170084,-0.6111007587078967,Near normal
2019,11,343.10028263724496,2740.3377497221372,-0.6558768324484943,Near normal
2019,12,324.5582894648666,2898.5777318238656,-0.31205060809867574,Near normal
2020,1,178.9702780717312,2879.4488404353,-0.3440186503587649,Near normal
2020,2,258.1657780435177,2968.8663115476174,-0.19276699945223683,Near normal
2020,3,176.3947502565602,2907.6734379913464,-0.2809730641817803,Near normal
2020,4,308.8473121290259,2853.8513239367926,-0.3727962830301349,Near normal
2020,5,440.70207548511394,2910.89970325173,-0.3357400935033234,Near normal
2020,6,375.4244739243718,3194.264243643149,0.1921313023088506,Near normal
2020,7,322.85659846156534,3336.437390302864,0.4929342327056321,Near normal
2020,8,138.7869826702769,3421.4524806606128,0.6173903332183847,Near normal
2020,9,113.55585616752691,3410.7806215696605,0.5973014922480807,Near normal
